Node,Thermal_Tech,Generation(MWh)
se1         ,gas         ,        0.00
se1         ,oil         ,        0.00
se1         ,nuclear     ,        0.00
se1         ,chp_coal    ,        0.00
se1         ,chp_waste   ,        0.00
se1         ,chp_gas     ,        0.00
se1         ,chp_peat    ,        0.00
se1         ,chp_biomass ,   572361.34
se2         ,gas         ,        0.00
se2         ,oil         ,        0.00
se2         ,nuclear     ,        0.00
se2         ,chp_coal    ,        0.00
se2         ,chp_waste   ,        0.00
se2         ,chp_gas     ,        0.00
se2         ,chp_peat    ,        0.00
se2         ,chp_biomass ,        0.00
se3         ,gas         ,        0.00
se3         ,oil         ,    26692.50
se3         ,nuclear     , 67247464.58
se3         ,chp_coal    ,        0.00
se3         ,chp_waste   ,   232251.85
se3         ,chp_gas     ,    44486.03
se3         ,chp_peat    ,   118405.62
se3         ,chp_biomass ,  6954926.37
se4         ,gas         ,    93652.54
se4         ,oil         ,     7011.14
se4         ,nuclear     ,        0.00
se4         ,chp_coal    ,        0.00
se4         ,chp_waste   ,        0.00
se4         ,chp_gas     ,        0.00
se4         ,chp_peat    ,        0.00
se4         ,chp_biomass ,        0.00
